date,vwretd,ewretd
2017-12-29,0.012122,0.014185
2018-01-31,0.050577,0.029441
2018-02-28,-0.039455,-0.040026
2018-03-29,-0.018421,0.001242
2018-04-30,0.004679,0.008169
2018-05-31,0.026146,0.034593
2018-06-29,0.005359,0.00279
2018-07-31,0.031573,0.006837
2018-08-31,0.030233,0.019201
2018-09-28,0.000425,-0.010332
2018-10-31,-0.074045,-0.082375
2018-11-30,0.018512,0.000656
2018-12-31,-0.08989,-0.099321
2019-01-31,0.088294,0.12026
2019-02-28,0.032724,0.038572
2019-03-29,0.012962,-0.003908
2019-04-30,0.037893,0.020355
2019-05-31,-0.061679,-0.064571
2019-06-28,0.067279,0.049002
2019-07-31,0.011854,-0.005245
2019-08-30,-0.020339,-0.040001
2019-09-30,0.016033,0.017681
2019-10-31,0.019257,0.006291
2019-11-29,0.034999,0.026601
2019-12-31,0.028489,0.044379
2020-01-31,-0.001728,-0.013334
2020-02-28,-0.077918,-0.069815
2020-03-31,-0.141733,-0.207503
2020-04-30,0.129674,0.153867
2020-05-29,0.053739,0.06407
2020-06-30,0.025299,0.057391
2020-07-31,0.055532,0.040737
2020-08-31,0.068442,0.038884
2020-09-30,-0.035056,-0.027357
2020-10-30,-0.020178,0.000584
2020-11-30,0.123707,0.174412
2020-12-31,0.045048,0.072853
2021-01-29,-0.000631,0.073192
2021-02-26,0.029196,0.067528
2021-03-31,0.030573,0.012449
2021-04-30,0.04819,0.016612
2021-05-28,0.007092,0.013179
2021-06-30,0.023422,0.021482
2021-07-30,0.011828,-0.033644
2021-08-31,0.027146,0.018892
2021-09-30,-0.042243,-0.028472
2021-10-29,0.064651,0.026557
2021-11-30,-0.018351,-0.04654
2021-12-31,0.033341,-0.00176
2022-01-31,-0.059823,-0.068191
2022-02-28,-0.021838,-0.007412
2022-03-31,0.030506,0.015438
2022-04-29,-0.089387,-0.089642
2022-05-31,-0.002113,-0.016103
2022-06-30,-0.083998,-0.068797
2022-07-29,0.090351,0.06536
2022-08-31,-0.036233,-0.011555
2022-09-30,-0.091323,-0.099903
2022-10-31,0.077394,0.049863
2022-11-30,0.052354,0.028123
2022-12-30,-0.05712,-0.047241
2023-01-31,0.071823,0.12643
2023-02-28,-0.024666,-0.035291
2023-03-31,0.02395,-0.036554
2023-04-28,0.008976,-0.009518
2023-05-31,0.000708,-0.008776
2023-06-30,0.066183,0.052624
2023-07-31,0.035618,0.043309
2023-08-31,-0.020608,-0.052542
2023-09-29,-0.047391,-0.055443
2023-10-31,-0.028865,-0.060887
2023-11-30,0.092053,0.080251
2023-12-29,0.053604,0.083841
2024-01-31,0.007561,-0.025182
2024-02-29,0.050584,0.04137
2024-03-28,0.03245,0.027637
2024-04-30,-0.042724,-0.050243
2024-05-31,0.046553,0.041764
2024-06-28,0.026073,-0.018902
2024-07-31,0.019878,0.047866
2024-08-30,0.021572,-0.010883
2024-09-30,0.020969,0.016322
2024-10-31,-0.008298,-0.005589
2024-11-29,0.064855,0.063684
2024-12-31,-0.031582,-0.021978
